epoch,_runtime,_timestamp,loss,val_loss
0,1272,1650383259,0.10023720562458038,0.06091805920004845
1,2155,1650384142,0.057968150824308395,0.05395025387406349
2,3021,1650385008,0.052652355283498764,0.0513334758579731
3,3873,1650385860,0.049561887979507446,0.047727327793836594
4,4727,1650386714,0.04773075133562088,0.04782553017139435
5,5634,1650387621,0.046286702156066895,0.04579265043139458
6,6527,1650388514,0.045140281319618225,0.04558780789375305
7,7533,1650389520,0.044287316501140594,0.04451736435294151
8,8392,1650390379,0.04335414618253708,0.04351990669965744
9,9244,1650391231,0.04268834739923477,0.04381142556667328
10,10119,1650392106,0.04200612008571625,0.04413427412509918
11,11025,1650393012,0.041446294635534286,0.0426480807363987
12,11884,1650393871,0.040967948734760284,0.04371950402855873
13,12778,1650394765,0.04050586745142937,0.04316328838467598
14,13686,1650395673,0.03997982293367386,0.04177116975188255
15,14597,1650396584,0.039452437311410904,0.04155078902840614
16,15539,1650397526,0.0390198789536953,0.041656993329524994
17,16443,1650398430,0.03854372724890709,0.04124477878212929
18,17415,1650399402,0.03810868039727211,0.04074616730213165
19,18385,1650400372,0.03781358525156975,0.04104049876332283
20,19260,1650401247,0.03743385151028633,0.0410764105618
21,20142,1650402129,0.03705878183245659,0.040602732449769974
22,21076,1650403063,0.03660065308213234,0.04034208878874779
23,22028,1650404015,0.03624364733695984,0.04040824621915817
24,23007,1650404994,0.03590879216790199,0.04043608531355858
25,23906,1650405893,0.03556821495294571,0.040898002684116364
26,24787,1650406774,0.03518396615982056,0.040089599788188934
27,25619,1650407606,0.034811489284038544,0.04027770087122917
28,26621,1650408608,0.03449463099241257,0.04041169956326485
29,27666,1650409653,0.03417067602276802,0.040037330240011215
30,28538,1650410525,0.03379419818520546,0.04002051800489426
31,29437,1650411424,0.03349402919411659,0.04026114195585251
32,30400,1650412387,0.03317147493362427,0.03980829939246178
33,31348,1650413335,0.032837267965078354,0.04030353203415871
34,32200,1650414187,0.03260897472500801,0.03979581966996193
35,33105,1650415092,0.03218185529112816,0.039917197078466415
36,34096,1650416083,0.03190167248249054,0.03998485207557678
37,34963,1650416950,0.031553179025650024,0.03988441824913025
38,35842,1650417829,0.031246980652213097,0.03982096537947655
39,36741,1650418728,0.03097282163798809,0.039740826934576035
40,37732,1650419719,0.030639860779047012,0.04007675126194954
41,38632,1650420619,0.03031422384083271,0.03993288800120354
42,39471,1650421458,0.03007536008954048,0.04000633955001831
43,40341,1650422328,0.029705803841352463,0.04041599482297897
44,41160,1650423147,0.029516426846385002,0.03986741602420807
